State,Year,Category,E-Waste Generated (Tonnes),E-Waste Collected (Tonnes),Collection Rate (%),Recycled (Tonnes),Recycling Efficiency (%),Hazardous Waste (Tonnes),Region
Chhattisgarh,2022,Lighting Equipment,171.4,49.1,0.287,35.4,0.721,30.3,Central
Chhattisgarh,2023,Computers & Peripherals,893.3,287.5,0.322,226.3,0.787,182.4,Central
Chhattisgarh,2023,Mobile Phones & Tablets,740.7,269.9,0.364,216.5,0.802,127.6,Central
Chhattisgarh,2023,Television & Monitors,518.9,153,0.295,117.4,0.767,72.6,Central
Chhattisgarh,2023,Refrigerators & AC,579.4,171.8,0.296,115.4,0.672,84,Central
Chhattisgarh,2023,Washing Machines,337.8,117.8,0.349,79.4,0.674,66,Central
Chhattisgarh,2023,Printers & Scanners,242.6,87.6,0.361,54.8,0.626,50.2,Central
Chhattisgarh,2023,Batteries & Cells,371.6,136,0.366,106.8,0.785,65.4,Central
Chhattisgarh,2023,Lighting Equipment,182.9,65.5,0.358,52.4,0.8,27.2,Central
Uttarakhand,2018,Computers & Peripherals,640.3,158.9,0.248,110.7,0.697,138.1,North
Uttarakhand,2018,Mobile Phones & Tablets,624,129.6,0.208,95.6,0.738,75.7,North
Uttarakhand,2018,Television & Monitors,394.9,90,0.228,71.6,0.796,81.7,North
Uttarakhand,2018,Refrigerators & AC,423,104.5,0.247,81.1,0.776,78.2,North
Uttarakhand,2018,Washing Machines,237.7,53,0.223,39.8,0.751,47,North
Uttarakhand,2018,Printers & Scanners,217.8,45,0.206,29,0.644,41,North
Uttarakhand,2018,Batteries & Cells,233.1,46.3,0.198,33.7,0.728,36.8,North
Uttarakhand,2018,Lighting Equipment,137.6,30.8,0.224,19.5,0.633,24.5,North
Uttarakhand,2019,Computers & Peripherals,643.6,152.7,0.237,118.7,0.777,87.2,North
Uttarakhand,2019,Mobile Phones & Tablets,569.9,134.9,0.237,82.7,0.613,121.5,North
Uttarakhand,2019,Television & Monitors,479.1,125.6,0.262,90.8,0.723,84.9,North
Uttarakhand,2019,Refrigerators & AC,420.3,114,0.271,77.5,0.68,59.7,North
Uttarakhand,2019,Washing Machines,229.8,50,0.218,36.3,0.726,37.1,North
Uttarakhand,2019,Printers & Scanners,219.5,48.2,0.219,31.6,0.656,31,North
Uttarakhand,2019,Batteries & Cells,268.4,64.3,0.24,42.1,0.655,52.4,North
Uttarakhand,2019,Lighting Equipment,156.5,45,0.287,36.3,0.807,34.1,North
Uttarakhand,2020,Computers & Peripherals,592.3,130.7,0.221,93,0.712,124.6,North
Uttarakhand,2020,Mobile Phones & Tablets,627.1,136.5,0.218,114.6,0.84,118.1,North
Uttarakhand,2020,Television & Monitors,438.1,103.5,0.236,86.6,0.837,69.5,North
Uttarakhand,2020,Refrigerators & AC,431.4,84.7,0.196,70.1,0.828,87.2,North
Uttarakhand,2020,Washing Machines,236.8,54.2,0.229,38.6,0.712,29.5,North
Uttarakhand,2020,Printers & Scanners,234.1,44.6,0.191,32.5,0.729,50.3,North
Uttarakhand,2020,Batteries & Cells,252.8,60.4,0.239,44.4,0.735,30.5,North
Uttarakhand,2020,Lighting Equipment,136.7,30.2,0.221,24,0.795,28.2,North
Uttarakhand,2021,Computers & Peripherals,689.5,164,0.238,120.4,0.734,131.2,North
Uttarakhand,2021,Mobile Phones & Tablets,711.4,207.9,0.292,158.3,0.761,152.2,North
Uttarakhand,2021,Television & Monitors,507.2,122.7,0.242,87.7,0.715,77.7,North
Uttarakhand,2021,Refrigerators & AC,402.6,94.2,0.234,75.2,0.798,70.8,North
Uttarakhand,2021,Washing Machines,260,64.5,0.248,42.9,0.665,41.3,North
Uttarakhand,2021,Printers & Scanners,230.4,61,0.265,36.9,0.605,43.2,North
Uttarakhand,2021,Batteries & Cells,289.7,81.5,0.281,61.5,0.755,56.7,North
Uttarakhand,2021,Lighting Equipment,162.9,46.6,0.286,28.8,0.618,34.7,North
Uttarakhand,2022,Computers & Peripherals,658.2,214.5,0.326,144.9,0.676,84.7,North
Uttarakhand,2022,Mobile Phones & Tablets,702.9,206.9,0.294,144.6,0.699,130.8,North
Uttarakhand,2022,Television & Monitors,492.5,149.2,0.303,94.6,0.634,78.4,North
Uttarakhand,2022,Refrigerators & AC,495.6,150.7,0.304,126.6,0.84,66.6,North
Uttarakhand,2022,Washing Machines,275.6,93,0.337,74.3,0.799,53.2,North
Uttarakhand,2022,Printers & Scanners,224.2,76.3,0.34,56.3,0.738,39.3,North
Uttarakhand,2022,Batteries & Cells,270.5,69.1,0.255,51.8,0.75,47,North
Uttarakhand,2022,Lighting Equipment,182.9,51.7,0.282,40.7,0.787,38.5,North
Uttarakhand,2023,Computers & Peripherals,723.4,232.5,0.321,177,0.761,123.9,North
Uttarakhand,2023,Mobile Phones & Tablets,627.6,189.8,0.302,153.5,0.809,87.5,North
Uttarakhand,2023,Television & Monitors,473.2,170.2,0.36,138.4,0.813,97.1,North
Uttarakhand,2023,Refrigerators & AC,527.9,200,0.379,143.1,0.715,92.4,North
Uttarakhand,2023,Washing Machines,259.5,74.5,0.287,46.5,0.624,50,North
Uttarakhand,2023,Printers & Scanners,238.4,74.7,0.313,47.2,0.632,44.2,North
Uttarakhand,2023,Batteries & Cells,277.9,95,0.342,78.4,0.825,42.2,North
Uttarakhand,2023,Lighting Equipment,168.8,57.6,0.342,39,0.677,30.1,North
